kernel name,param1,size,param2,size,param3,size,param4,size,param5,size,param6,size
fused_nn_conv2d_add_nn_relu_12_kernel0,0,9633792,1,40572,3,55394304,2,276,-1,-1,-1,-1
fused_nn_max_pool2d_add_nn_relu_kernel0,3,55394304,5,13848576,4,276,-1,-1,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_11_kernel0,5,13848576,6,141312,8,102760448,7,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,8,102760448,9,294912,11,3211264,10,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_10_kernel0,11,3211264,12,32768,14,102760448,13,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,14,102760448,15,294912,17,3211264,16,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_10_kernel0,17,3211264,18,32768,20,102760448,19,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,20,102760448,21,294912,23,3211264,22,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_10_kernel0,23,3211264,24,32768,26,102760448,25,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,26,102760448,27,294912,29,3211264,28,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_10_kernel0,29,3211264,30,32768,32,102760448,31,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,32,102760448,33,294912,35,3211264,34,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_10_kernel0,35,3211264,36,32768,38,102760448,37,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,38,102760448,39,294912,41,3211264,40,64,-1,-1,-1,-1
fused_nn_conv2d_2_kernel0,41,3211264,42,8320,43,26091520,-1,-1,-1,-1,-1,-1
fused_nn_avg_pool2d_add_nn_relu_2_kernel0,43,26091520,45,6522880,44,520,-1,-1,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_8_kernel0,45,6522880,46,266240,48,25690112,47,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_6_kernel0,48,25690112,49,294912,51,802816,50,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_7_kernel0,51,802816,52,32768,54,25690112,53,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_6_kernel0,54,25690112,55,294912,57,802816,56,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_7_kernel0,57,802816,58,32768,60,25690112,59,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_6_kernel0,60,25690112,61,294912,63,802816,62,64,-1,-1,-1,-1
