parameter name,whether model,size
data,1,9633792
p0,1,40572
p1,1,276
null,0,55394304
p2,1,276
null,0,13848576
p3,1,141312
p4,1,2048
null,0,102760448
p5,1,294912
p6,1,64
null,0,3211264
p7,1,32768
p8,1,2048
null,0,102760448
p9,1,294912
p10,1,64
null,0,3211264
p11,1,32768
p12,1,2048
null,0,102760448
p13,1,294912
p14,1,64
null,0,3211264
p15,1,32768
p16,1,2048
null,0,102760448
p17,1,294912
p18,1,64
null,0,3211264
p19,1,32768
p20,1,2048
null,0,102760448
p21,1,294912
p22,1,64
null,0,3211264
p23,1,32768
p24,1,2048
null,0,102760448
p25,1,294912
p26,1,64
null,0,3211264
p27,1,8320
null,0,26091520
p28,1,520
null,0,6522880
p29,1,266240
p30,1,2048
null,0,25690112
p31,1,294912
p32,1,64
null,0,802816
p33,1,32768
p34,1,2048
null,0,25690112
p35,1,294912
p36,1,64
null,0,802816
p37,1,32768
p38,1,2048
null,0,25690112
p39,1,294912
p40,1,64
null,0,802816
p41,1,32768
p42,1,2048
null,0,25690112
p43,1,294912
p44,1,64
null,0,802816
p45,1,32768
p46,1,2048
null,0,25690112
p47,1,294912
p48,1,64
null,0,802816
p49,1,32768
p50,1,2048
null,0,25690112
p51,1,294912
p52,1,64
null,0,802816
p53,1,32768
p54,1,2048
null,0,25690112
p55,1,294912
p56,1,64
null,0,802816
p57,1,32768
p58,1,2048
null,0,25690112
p59,1,294912
p60,1,64
null,0,802816
p61,1,32768
p62,1,2048
null,0,25690112
p63,1,294912
p64,1,64
null,0,802816
p65,1,32768
p66,1,2048
null,0,25690112
p67,1,294912
p68,1,64
null,0,802816
p69,1,32768
p70,1,2048
null,0,25690112
p71,1,294912
p72,1,64
null,0,802816
p73,1,32768
p74,1,2048
null,0,25690112
p75,1,294912
p76,1,64
null,0,802816
p77,1,16448
null,0,12895232
p78,1,1028
null,0,3223808
p79,1,526336
p80,1,2048
null,0,6422528
p81,1,294912
p82,1,64
null,0,200704
p83,1,32768
p84,1,2048
null,0,6422528
p85,1,294912
p86,1,64
null,0,200704
p87,1,32768
p88,1,2048
null,0,6422528
p89,1,294912
p90,1,64
null,0,200704
p91,1,32768
p92,1,2048
null,0,6422528
p93,1,294912
p94,1,64
null,0,200704
p95,1,32768
p96,1,2048
null,0,6422528
p97,1,294912
p98,1,64
null,0,200704
p99,1,32768
p100,1,2048
null,0,6422528
p101,1,294912
p102,1,64
null,0,200704
p103,1,32768
p104,1,2048
null,0,6422528
p105,1,294912
p106,1,64
null,0,200704
p107,1,32768
p108,1,2048
null,0,6422528
p109,1,294912
p110,1,64
null,0,200704
p111,1,32768
p112,1,2048
null,0,6422528
p113,1,294912
p114,1,64
null,0,200704
p115,1,32768
p116,1,2048
null,0,6422528
p117,1,294912
p118,1,64
null,0,200704
p119,1,32768
p120,1,2048
null,0,6422528
p121,1,294912
p122,1,64
null,0,200704
p123,1,32768
p124,1,2048
null,0,6422528
p125,1,294912
p126,1,64
null,0,200704
p127,1,32768
p128,1,2048
null,0,6422528
p129,1,294912
p130,1,64
null,0,200704
p131,1,32768
p132,1,2048
null,0,6422528
p133,1,294912
p134,1,64
null,0,200704
p135,1,32768
p136,1,2048
null,0,6422528
p137,1,294912
p138,1,64
null,0,200704
p139,1,32768
p140,1,2048
null,0,6422528
p141,1,294912
p142,1,64
null,0,200704
p143,1,32768
p144,1,2048
null,0,6422528
p145,1,294912
p146,1,64
null,0,200704
p147,1,32768
p148,1,2048
null,0,6422528
p149,1,294912
p150,1,64
null,0,200704
p151,1,32768
p152,1,2048
null,0,6422528
p153,1,294912
p154,1,64
null,0,200704
p155,1,32768
p156,1,2048
null,0,6422528
p157,1,294912
p158,1,64
null,0,200704
p159,1,32768
p160,1,2048
null,0,6422528
p161,1,294912
p162,1,64
null,0,200704
p163,1,32768
p164,1,2048
null,0,6422528
p165,1,294912
p166,1,64
null,0,200704
p167,1,32768
p168,1,2048
null,0,6422528
p169,1,294912
p170,1,64
null,0,200704
p171,1,32768
p172,1,2048
null,0,6422528
p173,1,294912
p174,1,64
null,0,200704
p175,1,32768
p176,1,2048
null,0,6422528
p177,1,294912
p178,1,64
null,0,200704
p179,1,32768
p180,1,2048
null,0,6422528
p181,1,294912
p182,1,64
null,0,200704
p183,1,32768
p184,1,2048
null,0,6422528
p185,1,294912
p186,1,64
null,0,200704
p187,1,32768
p188,1,2048
null,0,6422528
p189,1,294912
p190,1,64
null,0,200704
p191,1,32768
p192,1,2048
null,0,6422528
p193,1,294912
p194,1,64
null,0,200704
p195,1,32768
p196,1,2048
null,0,6422528
p197,1,294912
p198,1,64
null,0,200704
p199,1,32768
p200,1,2048
null,0,6422528
p201,1,294912
p202,1,64
null,0,200704
p203,1,32768
p204,1,2048
null,0,6422528
p205,1,294912
p206,1,64
null,0,200704
p207,1,40960
null,0,8028160
p208,1,2560
null,0,2007040
p209,1,1310720
p210,1,2048
null,0,1605632
p211,1,294912
p212,1,64
null,0,50176
p213,1,32768
p214,1,2048
null,0,1605632
p215,1,294912
p216,1,64
null,0,50176
p217,1,32768
p218,1,2048
null,0,1605632
p219,1,294912
p220,1,64
null,0,50176
p221,1,32768
p222,1,2048
null,0,1605632
p223,1,294912
p224,1,64
null,0,50176
p225,1,32768
p226,1,2048
null,0,1605632
p227,1,294912
p228,1,64
null,0,50176
p229,1,32768
p230,1,2048
null,0,1605632
p231,1,294912
p232,1,64
null,0,50176
p233,1,32768
p234,1,2048
null,0,1605632
p235,1,294912
p236,1,64
null,0,50176
p237,1,32768
p238,1,2048
null,0,1605632
p239,1,294912
p240,1,64
null,0,50176
p241,1,32768
p242,1,2048
null,0,1605632
p243,1,294912
p244,1,64
null,0,50176
p245,1,32768
p246,1,2048
null,0,1605632
p247,1,294912
p248,1,64
null,0,50176
p249,1,32768
p250,1,2048
null,0,1605632
p251,1,294912
p252,1,64
null,0,50176
p253,1,32768
p254,1,2048
null,0,1605632
p255,1,294912
p256,1,64
null,0,50176
p257,1,32768
p258,1,2048
null,0,1605632
p259,1,294912
p260,1,64
null,0,50176
p261,1,32768
p262,1,2048
null,0,1605632
p263,1,294912
p264,1,64
null,0,50176
p265,1,32768
p266,1,2048
null,0,1605632
p267,1,294912
p268,1,64
null,0,50176
p269,1,32768
p270,1,2048
null,0,1605632
p271,1,294912
p272,1,64
null,0,50176
p273,1,32768
p274,1,2048
null,0,1605632
p275,1,294912
p276,1,64
null,0,50176
p277,1,32768
p278,1,2048
null,0,1605632
p279,1,294912
p280,1,64
null,0,50176
p281,1,32768
p282,1,2048
null,0,1605632
p283,1,294912
p284,1,64
null,0,50176
p285,1,32768
p286,1,2048
null,0,1605632
p287,1,294912
p288,1,64
null,0,50176
p289,1,32768
p290,1,2048
null,0,1605632
p291,1,294912
