==21860== NVPROF is profiling process 21860, command: ./demo 3,,,,,,
==21860== Profiling application: ./demo 3,,,,,,,
==21860== Profiling result:,,,,,,,
==21860== Metric result:,,,,,,,
Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0,2,sm_efficiency,Multiprocessor Activity,25.71%,35.40%,30.56%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0,2,sm_efficiency,Multiprocessor Activity,40.46%,42.88%,41.67%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1,2,sm_efficiency,Multiprocessor Activity,74.96%,76.04%,75.50%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0,2,sm_efficiency,Multiprocessor Activity,36.08%,55.05%,45.56%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1,2,sm_efficiency,Multiprocessor Activity,67.04%,69.16%,68.10%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2,2,sm_efficiency,Multiprocessor Activity,36.66%,38.13%,37.40%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1,2,sm_efficiency,Multiprocessor Activity,40.02%,42.75%,41.39%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2,2,sm_efficiency,Multiprocessor Activity,34.34%,40.00%,37.17%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2,2,sm_efficiency,Multiprocessor Activity,38.60%,47.71%,43.16%
Tesla V100-SXM2-32GB (3),fused_nn_max_pool2d_add_nn_relu_kernel0,2,sm_efficiency,Multiprocessor Activity,41.90%,43.90%,42.90%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel0,2,sm_efficiency,Multiprocessor Activity,35.80%,37.05%,36.42%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel1,2,sm_efficiency,Multiprocessor Activity,76.17%,76.82%,76.49%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel2,2,sm_efficiency,Multiprocessor Activity,27.86%,36.13%,31.99%
Tesla V100-SXM2-32GB (3),fused_add_nn_relu_1_kernel0,2,sm_efficiency,Multiprocessor Activity,17.18%,19.10%,18.14%
Tesla V100-SXM2-32GB (3),fused_add_nn_relu_2_kernel0,2,sm_efficiency,Multiprocessor Activity,26.25%,31.11%,28.68%
Tesla V100-SXM2-32GB (3),fused_add_nn_relu_3_kernel0,2,sm_efficiency,Multiprocessor Activity,32.54%,33.07%,32.81%
