==47229== NVPROF is profiling process 47229, command: ./demo 2
==47229== Profiling application: ./demo 2
==47229== Profiling result:
==47229== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0",1,"sm_efficiency","Multiprocessor Activity",29.889425%,29.889425%,29.889425%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0",1,"sm_efficiency","Multiprocessor Activity",37.569323%,37.569323%,37.569323%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1",1,"sm_efficiency","Multiprocessor Activity",81.269056%,81.269056%,81.269056%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0",1,"sm_efficiency","Multiprocessor Activity",73.312237%,73.312237%,73.312237%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1",1,"sm_efficiency","Multiprocessor Activity",69.700547%,69.700547%,69.700547%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2",1,"sm_efficiency","Multiprocessor Activity",23.691051%,23.691051%,23.691051%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1",1,"sm_efficiency","Multiprocessor Activity",69.015573%,69.015573%,69.015573%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2",1,"sm_efficiency","Multiprocessor Activity",31.713122%,31.713122%,31.713122%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2",1,"sm_efficiency","Multiprocessor Activity",61.187879%,61.187879%,61.187879%
"Tesla V100-SXM2-32GB (2)","fused_nn_max_pool2d_add_nn_relu_kernel0",1,"sm_efficiency","Multiprocessor Activity",57.768625%,57.768625%,57.768625%
