==12837== NVPROF is profiling process 12837, command: ./demo 1
==12837== Profiling application: ./demo 1
==12837== Profiling result:
==12837== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.076892,0.076892,0.076892
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.143077,0.143077,0.143077
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.098548,0.098548,0.098548
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.076778,0.076778,0.076778
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.166699,0.166699,0.166699
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2",1,"achieved_occupancy","Achieved Occupancy",0.073546,0.073546,0.073546
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.106399,0.106399,0.106399
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2",1,"achieved_occupancy","Achieved Occupancy",0.130786,0.130786,0.130786
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2",1,"achieved_occupancy","Achieved Occupancy",0.076025,0.076025,0.076025
"Tesla V100-SXM2-32GB (1)","fused_nn_max_pool2d_add_nn_relu_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.808229,0.808229,0.808229
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.076590,0.076590,0.076590
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.098520,0.098520,0.098520
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel2",1,"achieved_occupancy","Achieved Occupancy",0.072199,0.072199,0.072199
"Tesla V100-SXM2-32GB (1)","fused_add_nn_relu_1_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.471742,0.471742,0.471742
"Tesla V100-SXM2-32GB (1)","fused_add_nn_relu_2_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.573483,0.573483,0.573483
"Tesla V100-SXM2-32GB (1)","fused_add_nn_relu_3_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.796616,0.796616,0.796616
"Tesla V100-SXM2-32GB (1)","fused_nn_conv2d_1_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.207825,0.207825,0.207825
"Tesla V100-SXM2-32GB (1)","fused_nn_conv2d_2_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.155341,0.155341,0.155341
"Tesla V100-SXM2-32GB (1)","fused_nn_batch_flatten_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.244401,0.244401,0.244401
"Tesla V100-SXM2-32GB (1)","fused_nn_conv2d_3_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.152369,0.152369,0.152369
"Tesla V100-SXM2-32GB (1)","fused_nn_dense_add_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.255823,0.255823,0.255823
"Tesla V100-SXM2-32GB (1)","fused_add_nn_relu_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.472722,0.472722,0.472722
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.062341,0.062341,0.062341
"Tesla V100-SXM2-32GB (1)","fused_nn_conv2d_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.106974,0.106974,0.106974
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.100323,0.100323,0.100323
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel2",1,"achieved_occupancy","Achieved Occupancy",0.062057,0.062057,0.062057
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.142593,0.142593,0.142593
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel0",1,"achieved_occupancy","Achieved Occupancy",0.076790,0.076790,0.076790
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.166043,0.166043,0.166043
"Tesla V100-SXM2-32GB (1)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel1",1,"achieved_occupancy","Achieved Occupancy",0.105855,0.105855,0.105855
