Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",509431523,64834,256,1,1,1024,1,1,22,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",509497157,5041550,4,28,64,28,1,8,71,5004,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",514539635,214600,6272,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",514755227,2042694,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_kernel0",516798849,242825,1,28,32,56,1,2,128,2816,0
"fused_nn_conv2d_add_3_kernel0",517042506,2075720,1,28,32,56,1,2,200,2816,0
"fused_add_nn_relu_3_kernel0",519119282,82499,256,1,1,1024,1,1,22,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",519202581,2034437,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",521238043,2070183,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",523309186,2055303,1,4,64,28,1,8,255,24928,0
"fused_nn_conv2d_1_kernel0",525365353,257641,1,4,64,28,1,8,168,24928,0
"fused_nn_conv2d_add_2_kernel0",525623890,2235053,1,7,64,14,1,8,178,5632,0
"fused_add_nn_relu_2_kernel0",527859775,40674,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",527901409,2221612,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",530123885,2233933,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",532358682,3414934,1,2,128,14,1,8,231,13280,0
"fused_nn_conv2d_2_kernel0",535774672,209607,1,2,128,14,1,8,168,13280,0
"fused_nn_conv2d_add_1_kernel0",535985208,2352849,1,2,128,14,1,8,168,5184,0
"fused_add_nn_relu_1_kernel0",538338985,20225,256,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",538359978,2158282,1,2,128,14,1,8,168,5184,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",540519092,2340849,1,2,128,14,1,8,168,5184,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",542860933,2458837,1,1,256,7,1,8,255,7456,0
"fused_nn_conv2d_3_kernel0",545320634,322859,1,1,256,7,1,8,168,7456,0
"fused_nn_conv2d_add_kernel0",545644517,2551928,1,1,512,7,1,4,128,1296,0
"fused_add_nn_relu_kernel0",548197501,12289,256,1,1,1024,1,1,19,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",548210590,2540823,1,1,512,7,1,4,128,1296,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",550752405,2555225,1,1,512,7,1,4,128,1296,0
"fused_nn_global_avg_pool2d_kernel0",553308526,14912,64,4,1,8,8,1,30,0,0
"fused_nn_batch_flatten_kernel0",553324206,3840,16,1,1,1024,1,1,16,0,0
"fused_nn_dense_add_kernel0",553328910,62659,1000,32,1,64,1,1,27,260,0
"fused_nn_softmax_kernel0",553392593,20032,32,1,1,32,1,1,56,0,0
