Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",699870969,109888,2560,1,1,1024,1,1,28,4,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",699981721,11896698,2560,1,1,28,1,8,71,5008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",711879379,578788,2560,1,1,1024,1,1,21,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",712459031,5909420,2560,1,1,56,1,2,208,2820,0
"fused_nn_conv2d_kernel0",718369475,635493,2560,1,1,56,1,2,119,2820,0
"fused_nn_conv2d_add_3_kernel0",719005864,5614986,2560,1,1,56,1,2,168,2820,0
"fused_add_nn_relu_3_kernel0",724621810,136546,2560,1,1,1024,1,1,24,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",724759315,5888877,2560,1,1,56,1,2,208,2820,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",730649216,5935180,2560,1,1,56,1,2,208,2820,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",736585388,4709316,2560,1,1,28,1,8,255,24932,0
"fused_nn_conv2d_1_kernel0",741295568,589700,2560,1,1,28,1,8,168,24932,0
"fused_nn_conv2d_add_2_kernel0",741886132,5722923,2560,1,1,14,1,8,226,5636,0
"fused_add_nn_relu_2_kernel0",747610079,68864,2560,1,1,1024,1,1,32,4,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",747679967,5665547,2560,1,1,14,1,8,224,5636,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",753346442,5744939,2560,1,1,14,1,8,226,5636,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",759092373,6129614,2560,1,1,14,1,8,197,13284,0
"fused_nn_conv2d_2_kernel0",765223331,502084,2560,1,1,14,1,8,155,13284,0
"fused_nn_conv2d_add_1_kernel0",765726438,4465858,2560,1,1,14,1,8,128,5188,0
"fused_add_nn_relu_1_kernel0",770193416,42465,2560,1,1,1024,1,1,29,4,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",770236809,4998053,2560,1,1,14,1,8,168,5188,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",775235822,5006213,2560,1,1,14,1,8,168,5188,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",780243251,5260744,2560,1,1,7,1,8,255,7460,0
"fused_nn_conv2d_3_kernel0",785504859,529252,2560,1,1,7,1,8,168,7460,0
"fused_nn_conv2d_add_kernel0",786035007,7247287,2560,1,1,7,1,4,165,1300,0
"fused_add_nn_relu_kernel0",793283222,27488,2560,1,1,1024,1,1,24,4,0
"fused_nn_conv2d_add_nn_relu_kernel0",793311574,7324055,2560,1,1,7,1,4,165,1300,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",800636685,7310838,2560,1,1,7,1,4,151,1300,0
"fused_nn_global_avg_pool2d_kernel0",807948515,28961,2560,1,1,8,8,1,30,4,0
"fused_nn_batch_flatten_kernel0",807978404,17856,2560,1,1,1024,1,1,16,4,0
"fused_nn_dense_add_kernel0",807997220,239938,2560,1,1,64,1,1,31,264,0
"fused_nn_softmax_kernel0",808238054,40992,2560,1,1,32,1,1,72,4,0
