Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",499248600,196152,30000,1,1,1024,1,1,28,4,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",499445712,6002979,30000,1,1,28,1,8,71,5008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",505449586,318496,30000,1,1,1024,1,1,21,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",505769074,3036058,30000,1,1,56,1,2,208,2820,0
"fused_nn_conv2d_kernel0",508806220,337020,30000,1,1,56,1,2,119,2820,0
"fused_nn_conv2d_add_3_kernel0",509144136,2883705,30000,1,1,56,1,2,168,2820,0
"fused_add_nn_relu_3_kernel0",512028801,200119,30000,1,1,1024,1,1,24,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",512229912,3026364,30000,1,1,56,1,2,208,2820,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",515257204,3055351,30000,1,1,56,1,2,208,2820,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",518313642,2363747,30000,1,1,28,1,8,255,24932,0
"fused_nn_conv2d_1_kernel0",520678285,306178,30000,1,1,28,1,8,168,24932,0
"fused_nn_conv2d_add_2_kernel0",520985327,2919313,30000,1,1,14,1,8,226,5636,0
"fused_add_nn_relu_2_kernel0",523905504,186491,30000,1,1,1024,1,1,32,4,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",524092955,2851743,30000,1,1,14,1,8,224,5636,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",526945722,2899862,30000,1,1,14,1,8,226,5636,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",529846544,3072275,30000,1,1,14,1,8,197,13284,0
"fused_nn_conv2d_2_kernel0",532919907,274056,30000,1,1,14,1,8,155,13284,0
"fused_nn_conv2d_add_1_kernel0",533194987,2253369,30000,1,1,14,1,8,128,5188,0
"fused_add_nn_relu_1_kernel0",535449251,180956,30000,1,1,1024,1,1,29,4,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",535631071,2544254,30000,1,1,14,1,8,168,5188,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",538176252,2551836,30000,1,1,14,1,8,168,5188,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",540729400,2665509,30000,1,1,7,1,8,255,7460,0
"fused_nn_conv2d_3_kernel0",543395997,324862,30000,1,1,7,1,8,168,7460,0
"fused_nn_conv2d_add_kernel0",543721915,4664434,30000,1,1,7,1,4,165,1300,0
"fused_add_nn_relu_kernel0",548387213,178139,30000,1,1,1024,1,1,24,4,0
"fused_nn_conv2d_add_nn_relu_kernel0",548566408,4824465,30000,1,1,7,1,4,165,1300,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",553391801,4649588,30000,1,1,7,1,4,151,1300,0
"fused_nn_global_avg_pool2d_kernel0",558042445,54453,30000,1,1,8,8,1,30,4,0
"fused_nn_batch_flatten_kernel0",558097826,173788,30000,1,1,1024,1,1,16,4,0
"fused_nn_dense_add_kernel0",558272510,136997,30000,1,1,64,1,1,31,264,0
"fused_nn_softmax_kernel0",558410466,53750,30000,1,1,32,1,1,72,4,0
