Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",529242770,13568,256,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",529257490,677526,4,28,8,28,1,8,71,5004,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",529936040,30815,784,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",529967815,368731,1,28,4,56,1,2,200,2816,0
"fused_nn_conv2d_kernel0",530337506,44255,1,28,4,56,1,2,128,2816,0
"fused_nn_conv2d_add_3_kernel0",530382721,369946,1,28,4,56,1,2,200,2816,0
"fused_add_nn_relu_3_kernel0",530753563,11488,256,1,1,1024,1,1,19,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",530765915,348730,1,28,4,56,1,2,200,2816,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",531115541,369115,1,28,4,56,1,2,200,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",531485648,316251,1,4,8,28,1,8,255,24928,0
"fused_nn_conv2d_1_kernel0",531802859,44799,1,4,8,28,1,8,168,24928,0
"fused_nn_conv2d_add_2_kernel0",531848682,395930,1,7,8,14,1,8,178,5632,0
"fused_add_nn_relu_2_kernel0",532245508,7872,256,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",532254276,396281,1,7,8,14,1,8,178,5632,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",532651453,395482,1,7,8,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",533047767,841556,1,2,16,14,1,8,231,13280,0
"fused_nn_conv2d_2_kernel0",533890155,53279,1,2,16,14,1,8,168,13280,0
"fused_nn_conv2d_add_1_kernel0",533944522,543256,1,2,16,14,1,8,168,5184,0
"fused_add_nn_relu_1_kernel0",534488738,6271,196,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",534495905,543672,1,2,16,14,1,8,168,5184,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",535040473,542519,1,2,16,14,1,8,168,5184,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",535583888,753333,1,1,32,7,1,8,255,7456,0
"fused_nn_conv2d_3_kernel0",536338117,79070,1,1,32,7,1,8,168,7456,0
"fused_nn_conv2d_add_kernel0",536418083,1205294,1,1,64,7,1,4,128,1296,0
"fused_add_nn_relu_kernel0",537624305,5216,98,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",537630449,1204493,1,1,64,7,1,4,128,1296,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",538835934,1206317,1,1,64,7,1,4,128,1296,0
"fused_nn_global_avg_pool2d_kernel0",540043147,4896,64,1,1,8,8,1,32,0,0
"fused_nn_batch_flatten_kernel0",540048907,3808,2,1,1,1024,1,1,16,0,0
"fused_nn_dense_add_kernel0",540053611,13376,1000,4,1,64,1,1,27,260,0
"fused_nn_softmax_kernel0",540068043,19808,4,1,1,32,1,1,56,0,0
