Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",562069687,30528,256,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",562101047,3137781,4,28,16,28,1,8,71,5004,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",565239692,106813,1568,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",565347433,1278209,1,28,8,56,1,2,200,2816,0
"fused_nn_conv2d_kernel0",566626730,155900,1,28,8,56,1,2,128,2816,0
"fused_nn_conv2d_add_3_kernel0",566783750,1286530,1,28,8,56,1,2,200,2816,0
"fused_add_nn_relu_3_kernel0",568071144,34399,256,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",568106535,1242402,1,28,8,56,1,2,200,2816,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",569349993,1279905,1,28,8,56,1,2,200,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",570630986,1195940,1,4,16,28,1,8,255,24928,0
"fused_nn_conv2d_1_kernel0",571827886,154044,1,4,16,28,1,8,168,24928,0
"fused_nn_conv2d_add_2_kernel0",571982890,1498716,1,7,16,14,1,8,178,5632,0
"fused_add_nn_relu_2_kernel0",573482502,19839,256,1,1,1024,1,1,19,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",573503365,1488893,1,7,16,14,1,8,178,5632,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",574993250,1494044,1,7,16,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",576488254,1765589,1,2,32,14,1,8,231,13280,0
"fused_nn_conv2d_2_kernel0",578254835,128541,1,2,32,14,1,8,168,13280,0
"fused_nn_conv2d_add_1_kernel0",578384240,1559195,1,2,32,14,1,8,168,5184,0
"fused_add_nn_relu_1_kernel0",579944459,13888,256,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",579959339,1574778,1,2,32,14,1,8,168,5184,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",581535141,1557210,1,2,32,14,1,8,168,5184,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",583093407,1208099,1,1,64,7,1,8,255,7456,0
"fused_nn_conv2d_3_kernel0",584302594,168188,1,1,64,7,1,8,168,7456,0
"fused_nn_conv2d_add_kernel0",584471838,1525276,1,1,128,7,1,4,128,1296,0
"fused_add_nn_relu_kernel0",585998202,9375,196,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",586008409,1518236,1,1,128,7,1,4,128,1296,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",587527605,1533691,1,1,128,7,1,4,128,1296,0
"fused_nn_global_avg_pool2d_kernel0",589062416,10016,64,1,1,8,8,1,30,0,0
"fused_nn_batch_flatten_kernel0",589073328,3808,4,1,1,1024,1,1,16,0,0
"fused_nn_dense_add_kernel0",589078000,39391,1000,8,1,64,1,1,27,260,0
"fused_nn_softmax_kernel0",589118351,20063,8,1,1,32,1,1,56,0,0
