Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,516383570,33439,2560,1,1,1024,1,1,24,4,0
fused_nn_conv2d_add_nn_relu_7_kernel0,516417841,664949,2560,1,1,28,1,8,56,5008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,517083814,29279,2560,1,1,1024,1,1,26,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,517114053,440824,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_kernel0,517555709,63967,2560,1,1,56,1,2,96,2820,0
fused_nn_conv2d_add_3_kernel0,517620572,433880,2560,1,1,56,1,2,255,2820,0
fused_add_nn_relu_3_kernel0,518055444,31200,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,518087636,434808,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,518523404,430137,2560,1,1,56,1,2,255,2820,0
fused_nn_conv2d_add_nn_relu_5_kernel0,518954437,317626,2560,1,1,28,1,8,255,24932,0
fused_nn_conv2d_1_kernel0,519273119,61087,2560,1,1,28,1,8,168,24932,0
fused_nn_conv2d_add_2_kernel0,519335038,413465,2560,1,1,14,1,8,255,5636,0
fused_add_nn_relu_2_kernel0,519749399,26079,2560,1,1,1024,1,1,22,4,0
fused_nn_conv2d_add_nn_relu_4_kernel0,519776278,416409,2560,1,1,14,1,8,226,5636,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,520193583,406073,2560,1,1,14,1,8,248,5636,0
fused_nn_conv2d_add_nn_relu_3_kernel0,520600552,839377,2560,1,1,14,1,8,198,13284,0
fused_nn_conv2d_2_kernel0,521440825,101279,2560,1,1,14,1,8,165,13284,0
fused_nn_conv2d_add_1_kernel0,521542936,671732,2560,1,1,14,1,8,199,5188,0
fused_add_nn_relu_1_kernel0,522215532,23743,2560,1,1,1024,1,1,18,4,0
fused_nn_conv2d_add_nn_relu_2_kernel0,522240171,669205,2560,1,1,14,1,8,251,5188,0
fused_nn_conv2d_add_add_nn_relu_kernel0,522910208,622869,2560,1,1,14,1,8,227,5188,0
fused_nn_conv2d_add_nn_relu_1_kernel0,523534005,1167595,2560,1,1,7,1,8,255,7460,0
fused_nn_conv2d_3_kernel0,524702624,131678,2560,1,1,7,1,8,168,7460,0
fused_nn_conv2d_add_kernel0,524835230,1474022,2560,1,1,7,1,4,203,1300,0
fused_add_nn_relu_kernel0,526310148,22240,2560,1,1,1024,1,1,16,4,0
fused_nn_conv2d_add_nn_relu_kernel0,526333412,1662275,2560,1,1,7,1,4,143,1300,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,527996487,1476038,2560,1,1,7,1,4,227,1300,0
fused_nn_global_avg_pool2d_kernel0,529473485,19936,2560,1,1,8,8,1,30,4,0
fused_nn_batch_flatten_kernel0,529494349,20480,2560,1,1,1024,1,1,16,4,0
fused_nn_dense_add_kernel0,529515693,98782,2560,1,1,64,1,1,27,264,0
fused_nn_softmax_kernel0,529615435,22911,2560,1,1,32,1,1,72,4,0
,13254776,,,,,,,,,,
