kernel name,param1,size,param2,size,param3,size,param4,size,param5,size
fused_add_10_kernel0,2,19267584,-1,-1,0,19267584,-1,-1,1,12,
fused_nn_conv2d_add_nn_relu_7_kernel0,2,19267584,-1,-1,3,37632,-1,-1,5,102760448,
fused_nn_max_pool2d_add_nn_relu_kernel0,5,102760448,4,256,7,25690112,-1,-1,6,256,
fused_nn_conv2d_add_nn_relu_6_kernel0,7,25690112,-1,-1,8,147456,-1,-1,10,25690112,
fused_nn_conv2d_kernel0,7,25690112,9,256,12,16384,-1,-1,13,25690112,
fused_nn_conv2d_add_3_kernel0,10,25690112,-1,-1,11,147456,-1,-1,14,25690112,
fused_add_nn_relu_3_kernel0,16,25690112,13,25690112,14,25690112,-1,-1,15,256,
fused_nn_conv2d_add_nn_relu_6_kernel0,16,25690112,-1,-1,17,147456,-1,-1,19,25690112,
fused_nn_conv2d_add_add_nn_relu_2_kernel0,19,25690112,18,256,20,147456,-1,-1,22,25690112,
fused_nn_conv2d_add_nn_relu_5_kernel0,22,25690112,14,25690112,23,294912,21,256,25,12845056,
fused_nn_conv2d_1_kernel0,22,25690112,24,512,27,32768,-1,-1,28,12845056,
fused_nn_conv2d_add_2_kernel0,25,12845056,-1,-1,26,589824,-1,-1,29,12845056,
fused_add_nn_relu_2_kernel0,31,12845056,28,12845056,29,12845056,-1,-1,30,512,
fused_nn_conv2d_add_nn_relu_4_kernel0,31,12845056,-1,-1,32,589824,-1,-1,34,12845056,
fused_nn_conv2d_add_add_nn_relu_1_kernel0,34,12845056,33,512,35,589824,-1,-1,37,12845056,
fused_nn_conv2d_add_nn_relu_3_kernel0,37,12845056,29,12845056,38,1179648,36,512,40,6422528,
fused_nn_conv2d_2_kernel0,37,12845056,39,1024,42,131072,-1,-1,43,6422528,
fused_nn_conv2d_add_1_kernel0,40,6422528,-1,-1,41,2359296,-1,-1,44,6422528,
fused_add_nn_relu_1_kernel0,46,6422528,43,6422528,44,6422528,-1,-1,45,1024,
fused_nn_conv2d_add_nn_relu_2_kernel0,46,6422528,-1,-1,47,2359296,-1,-1,49,6422528,
fused_nn_conv2d_add_add_nn_relu_kernel0,49,6422528,48,1024,50,2359296,-1,-1,52,6422528,
fused_nn_conv2d_add_nn_relu_1_kernel0,52,6422528,44,6422528,53,4718592,51,1024,55,3211264,
fused_nn_conv2d_3_kernel0,52,6422528,54,2048,57,524288,-1,-1,58,3211264,
fused_nn_conv2d_add_kernel0,55,3211264,-1,-1,56,9437184,-1,-1,59,3211264,
fused_add_nn_relu_kernel0,61,3211264,58,3211264,59,3211264,-1,-1,60,2048,
fused_nn_conv2d_add_nn_relu_kernel0,61,3211264,-1,-1,62,9437184,-1,-1,64,3211264,
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,64,3211264,63,2048,65,9437184,-1,-1,68,3211264,
fused_nn_global_avg_pool2d_kernel0,68,3211264,59,3211264,69,65536,66,2048,-1,-1,
fused_nn_batch_flatten_kernel0,70,65536,-1,-1,69,65536,-1,-1,-1,-1,
fused_nn_dense_add_kernel0,70,65536,-1,-1,71,2048000,-1,-1,73,128000,
fused_nn_softmax_kernel0,73,128000,72,4000,74,128000,-1,-1,-1,-1,
