==29317== NVPROF is profiling process 29317, command: ./demo 1,,,,,,
==29317== Profiling application: ./demo 1,,,,,,,
==29317== Profiling result:,,,,,,,
==29317== Metric result:,,,,,,,
Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0,1,sm_efficiency,Multiprocessor Activity,27.25%,27.25%,27.25%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0,1,sm_efficiency,Multiprocessor Activity,33.70%,33.70%,33.70%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1,1,sm_efficiency,Multiprocessor Activity,83.31%,83.31%,83.31%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0,1,sm_efficiency,Multiprocessor Activity,71.42%,71.42%,71.42%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1,1,sm_efficiency,Multiprocessor Activity,71.91%,71.91%,71.91%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2,1,sm_efficiency,Multiprocessor Activity,30.84%,30.84%,30.84%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1,1,sm_efficiency,Multiprocessor Activity,68.12%,68.12%,68.12%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2,1,sm_efficiency,Multiprocessor Activity,53.45%,53.45%,53.45%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2,1,sm_efficiency,Multiprocessor Activity,58.14%,58.14%,58.14%
Tesla V100-SXM2-32GB (1),fused_nn_max_pool2d_add_nn_relu_kernel0,1,sm_efficiency,Multiprocessor Activity,54.54%,54.54%,54.54%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel0,1,sm_efficiency,Multiprocessor Activity,31.39%,31.39%,31.39%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel1,1,sm_efficiency,Multiprocessor Activity,83.61%,83.61%,83.61%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel2,1,sm_efficiency,Multiprocessor Activity,39.80%,39.80%,39.80%
Tesla V100-SXM2-32GB (1),fused_add_nn_relu_1_kernel0,1,sm_efficiency,Multiprocessor Activity,13.56%,13.56%,13.56%
Tesla V100-SXM2-32GB (1),fused_add_nn_relu_2_kernel0,1,sm_efficiency,Multiprocessor Activity,25.17%,25.17%,25.17%
Tesla V100-SXM2-32GB (1),fused_add_nn_relu_3_kernel0,1,sm_efficiency,Multiprocessor Activity,25.27%,25.27%,25.27%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_1_kernel0,1,sm_efficiency,Multiprocessor Activity,42.72%,42.72%,42.72%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_2_kernel0,1,sm_efficiency,Multiprocessor Activity,59.68%,59.68%,59.68%
Tesla V100-SXM2-32GB (1),fused_nn_batch_flatten_kernel0,1,sm_efficiency,Multiprocessor Activity,0.22%,0.22%,0.22%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_3_kernel0,1,sm_efficiency,Multiprocessor Activity,69.35%,69.35%,69.35%
Tesla V100-SXM2-32GB (1),fused_nn_dense_add_kernel0,1,sm_efficiency,Multiprocessor Activity,34.67%,34.67%,34.67%
Tesla V100-SXM2-32GB (1),fused_add_nn_relu_kernel0,1,sm_efficiency,Multiprocessor Activity,7.98%,7.98%,7.98%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel0,1,sm_efficiency,Multiprocessor Activity,26.15%,26.15%,26.15%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_kernel0,1,sm_efficiency,Multiprocessor Activity,48.20%,48.20%,48.20%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel1,1,sm_efficiency,Multiprocessor Activity,84.85%,84.85%,84.85%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel2,1,sm_efficiency,Multiprocessor Activity,21.59%,21.59%,21.59%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel0,1,sm_efficiency,Multiprocessor Activity,36.97%,36.97%,36.97%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel0,1,sm_efficiency,Multiprocessor Activity,71.87%,71.87%,71.87%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel1,1,sm_efficiency,Multiprocessor Activity,69.00%,69.00%,69.00%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel1,1,sm_efficiency,Multiprocessor Activity,66.81%,66.81%,66.81%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel2,1,sm_efficiency,Multiprocessor Activity,34.10%,34.10%,34.10%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel2,1,sm_efficiency,Multiprocessor Activity,58.06%,58.06%,58.06%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel0,1,sm_efficiency,Multiprocessor Activity,24.29%,24.29%,24.29%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel1,1,sm_efficiency,Multiprocessor Activity,86.20%,86.20%,86.20%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel2,1,sm_efficiency,Multiprocessor Activity,31.77%,31.77%,31.77%
Tesla V100-SXM2-32GB (1),fused_nn_global_avg_pool2d_kernel0,1,sm_efficiency,Multiprocessor Activity,22.20%,22.20%,22.20%
Tesla V100-SXM2-32GB (1),fused_nn_softmax_kernel0,1,sm_efficiency,Multiprocessor Activity,0.97%,0.97%,0.97%
Tesla V100-SXM2-32GB (1),fused_add_10_kernel0,1,sm_efficiency,Multiprocessor Activity,31.11%,31.11%,31.11%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_1_kernel0,1,sm_efficiency,Multiprocessor Activity,63.51%,63.51%,63.51%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_2_kernel0,1,sm_efficiency,Multiprocessor Activity,79.67%,79.67%,79.67%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel0,1,sm_efficiency,Multiprocessor Activity,30.10%,30.10%,30.10%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_3_kernel0,1,sm_efficiency,Multiprocessor Activity,87.93%,87.93%,87.93%
