kernel name,param1,size,param2,size,param3,size,param4,size,param5,size,param6,size
fused_nn_conv2d_add_nn_relu_18_kernel0,0,602112,1,3456,3,1605632,2,128,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_17_kernel0,3,1605632,4,1152,6,1605632,5,128,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_16_kernel0,6,1605632,7,8192,9,3211264,8,256,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_15_kernel0,9,3211264,10,2304,12,802816,11,256,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_14_kernel0,12,802816,13,32768,15,1605632,14,512,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_13_kernel0,15,1605632,16,4608,18,1605632,17,512,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_12_kernel0,18,1605632,19,65536,21,1605632,20,512,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_11_kernel0,21,1605632,22,4608,24,401408,23,512,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_10_kernel0,24,401408,25,131072,27,802816,26,1024,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_9_kernel0,27,802816,28,9216,30,802816,29,1024,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_8_kernel0,30,802816,31,262144,33,802816,32,1024,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_7_kernel0,33,802816,34,9216,36,200704,35,1024,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_6_kernel0,36,200704,37,524288,39,401408,38,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_5_kernel0,39,401408,40,18432,42,401408,41,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,42,401408,43,1048576,45,401408,44,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_5_kernel0,45,401408,46,18432,48,401408,47,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,48,401408,49,1048576,51,401408,50,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_5_kernel0,51,401408,52,18432,54,401408,53,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,54,401408,55,1048576,57,401408,56,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_5_kernel0,57,401408,58,18432,60,401408,59,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,60,401408,61,1048576,63,401408,62,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_5_kernel0,63,401408,64,18432,66,401408,65,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,66,401408,67,1048576,69,401408,68,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,69,401408,70,18432,72,100352,71,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_2_kernel0,72,100352,73,2097152,75,200704,74,4096,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,75,200704,76,36864,78,200704,77,4096,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,78,200704,79,4194304,81,200704,80,4096,-1,-1,-1,-1
fused_nn_global_avg_pool2d_kernel0,81,200704,82,4096,-1,-1,-1,-1,-1,-1,-1,-1
fused_nn_batch_flatten_kernel0,83,4096,82,4096,-1,-1,-1,-1,-1,-1,-1,-1
fused_nn_dense_add_kernel0,83,4096,84,4096000,86,4000,85,4000,-1,-1,-1,-1
fused_nn_softmax_kernel0,86,4000,87,4000,-1,-1,-1,-1,-1,-1,-1,-1
