parameter name,whether model,size
data,1,602112
p0,1,3456
p1,1,128
null,0,1605632
p2,1,1152
p3,1,128
null,0,1605632
p4,1,8192
p5,1,256
null,0,3211264
p6,1,2304
p7,1,256
null,0,802816
p8,1,32768
p9,1,512
null,0,1605632
p10,1,4608
p11,1,512
null,0,1605632
p12,1,65536
p13,1,512
null,0,1605632
p14,1,4608
p15,1,512
null,0,401408
p16,1,131072
p17,1,1024
null,0,802816
p18,1,9216
p19,1,1024
null,0,802816
p20,1,262144
p21,1,1024
null,0,802816
p22,1,9216
p23,1,1024
null,0,200704
p24,1,524288
p25,1,2048
null,0,401408
p26,1,18432
p27,1,2048
null,0,401408
p28,1,1048576
p29,1,2048
null,0,401408
p30,1,18432
p31,1,2048
null,0,401408
p32,1,1048576
p33,1,2048
null,0,401408
p34,1,18432
p35,1,2048
null,0,401408
p36,1,1048576
p37,1,2048
null,0,401408
p38,1,18432
p39,1,2048
null,0,401408
p40,1,1048576
p41,1,2048
null,0,401408
p42,1,18432
p43,1,2048
null,0,401408
p44,1,1048576
p45,1,2048
null,0,401408
p46,1,18432
p47,1,2048
null,0,100352
p48,1,2097152
p49,1,4096
null,0,200704
p50,1,36864
p51,1,4096
null,0,200704
p52,1,4194304
p53,1,4096
null,0,200704
null,0,4096
null,0,4096
p54,1,4096000
p55,1,4000
null,0,4000
output,1,4000
