==55907== NVPROF is profiling process 55907, command: ./demo 2
==55907== Profiling application: ./demo 2
==55907== Profiling result:
==55907== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",21.707007%,25.696359%,23.701683%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",22.656393%,27.515847%,25.086120%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1",2,"sm_efficiency","Multiprocessor Activity",44.125096%,45.359680%,44.742388%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",26.805057%,35.181950%,30.993504%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1",2,"sm_efficiency","Multiprocessor Activity",36.848124%,37.888642%,37.368383%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2",2,"sm_efficiency","Multiprocessor Activity",27.659076%,27.688952%,27.674014%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1",2,"sm_efficiency","Multiprocessor Activity",39.103573%,39.180005%,39.141789%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2",2,"sm_efficiency","Multiprocessor Activity",28.380927%,32.427720%,30.404324%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2",2,"sm_efficiency","Multiprocessor Activity",33.172198%,33.732178%,33.452188%
"Tesla V100-SXM2-32GB (2)","fused_nn_max_pool2d_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",30.559777%,31.784876%,31.172327%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",17.569547%,24.383634%,20.976591%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel1",2,"sm_efficiency","Multiprocessor Activity",44.014691%,44.859542%,44.437116%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel2",2,"sm_efficiency","Multiprocessor Activity",21.661507%,25.527056%,23.594281%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",19.067874%,22.242366%,20.655120%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",19.439216%,22.998889%,21.219052%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",26.419672%,27.748095%,27.083884%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",26.812767%,28.351552%,27.582159%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",39.503383%,40.464393%,39.983888%
"Tesla V100-SXM2-32GB (2)","fused_nn_batch_flatten_kernel0",2,"sm_efficiency","Multiprocessor Activity",0.287434%,0.355480%,0.321457%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",40.220532%,40.517075%,40.368804%
"Tesla V100-SXM2-32GB (2)","fused_nn_dense_add_kernel0",2,"sm_efficiency","Multiprocessor Activity",42.919218%,43.279717%,43.099467%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",10.701526%,11.141767%,10.921646%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",23.464425%,24.430134%,23.947280%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_kernel0",2,"sm_efficiency","Multiprocessor Activity",28.788794%,30.635458%,29.712126%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel1",2,"sm_efficiency","Multiprocessor Activity",39.327839%,39.863033%,39.595436%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel2",2,"sm_efficiency","Multiprocessor Activity",22.351497%,23.951360%,23.151428%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",23.510414%,28.903338%,26.206876%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",25.644496%,35.300054%,30.472275%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel1",2,"sm_efficiency","Multiprocessor Activity",37.116534%,37.203773%,37.160154%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel1",2,"sm_efficiency","Multiprocessor Activity",38.296425%,38.308118%,38.302271%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel2",2,"sm_efficiency","Multiprocessor Activity",29.360590%,32.360392%,30.860491%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel2",2,"sm_efficiency","Multiprocessor Activity",30.115239%,33.109095%,31.612167%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel0",2,"sm_efficiency","Multiprocessor Activity",12.841171%,22.486998%,17.664084%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel1",2,"sm_efficiency","Multiprocessor Activity",38.631038%,39.048452%,38.839745%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel2",2,"sm_efficiency","Multiprocessor Activity",23.564496%,24.937363%,24.250929%
"Tesla V100-SXM2-32GB (2)","fused_nn_global_avg_pool2d_kernel0",2,"sm_efficiency","Multiprocessor Activity",17.154794%,22.456175%,19.805485%
"Tesla V100-SXM2-32GB (2)","fused_nn_softmax_kernel0",2,"sm_efficiency","Multiprocessor Activity",0.858994%,1.022645%,0.940820%
"Tesla V100-SXM2-32GB (2)","fused_add_10_kernel0",2,"sm_efficiency","Multiprocessor Activity",22.854043%,25.881210%,24.367626%
