==27969== NVPROF is profiling process 27969, command: ./demo 2
==27969== Profiling application: ./demo 2
==27969== Profiling result:
==27969== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",25.478179%,26.595881%,26.037030%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",30.860294%,31.989942%,31.425118%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1",2,"sm_efficiency","Multiprocessor Activity",44.881015%,45.289585%,45.085300%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",35.382703%,35.944798%,35.663750%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1",2,"sm_efficiency","Multiprocessor Activity",38.291295%,38.507367%,38.399331%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2",2,"sm_efficiency","Multiprocessor Activity",26.104007%,26.817346%,26.460676%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1",2,"sm_efficiency","Multiprocessor Activity",38.451955%,39.076051%,38.764003%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2",2,"sm_efficiency","Multiprocessor Activity",32.852721%,34.385892%,33.619307%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2",2,"sm_efficiency","Multiprocessor Activity",34.257398%,34.461747%,34.359572%
"Tesla V100-SXM2-32GB (2)","fused_nn_max_pool2d_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",31.680065%,33.941394%,32.810730%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",22.224776%,25.747037%,23.985907%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel1",2,"sm_efficiency","Multiprocessor Activity",44.834200%,45.272190%,45.053195%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel2",2,"sm_efficiency","Multiprocessor Activity",26.508377%,26.576313%,26.542345%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",19.529148%,20.076375%,19.802761%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",23.097475%,23.947569%,23.522522%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",27.172030%,28.210543%,27.691286%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",29.339140%,29.960356%,29.649748%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",40.388098%,40.846318%,40.617208%
"Tesla V100-SXM2-32GB (2)","fused_nn_batch_flatten_kernel0",2,"sm_efficiency","Multiprocessor Activity",0.416266%,0.445347%,0.430806%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",41.224240%,41.241982%,41.233111%
"Tesla V100-SXM2-32GB (2)","fused_nn_dense_add_kernel0",2,"sm_efficiency","Multiprocessor Activity",43.343803%,43.978415%,43.661109%
"Tesla V100-SXM2-32GB (2)","fused_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",10.931419%,11.156667%,11.044043%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",23.623516%,24.915195%,24.269356%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_kernel0",2,"sm_efficiency","Multiprocessor Activity",30.725336%,31.028023%,30.876680%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel1",2,"sm_efficiency","Multiprocessor Activity",38.835379%,39.721197%,39.278288%
