parameter name,whether model,size
data,1,9633792
p0,1,6912
p1,1,256
null,0,205520896
p2,1,147456
p3,1,256
null,0,205520896
null,0,51380224
p4,1,294912
p5,1,512
null,0,102760448
p6,1,589824
p7,1,512
null,0,102760448
null,0,25690112
p8,1,1179648
p9,1,1024
null,0,51380224
p10,1,2359296
p11,1,1024
null,0,51380224
p12,1,2359296
p13,1,1024
null,0,51380224
null,0,12845056
p14,1,4718592
p15,1,2048
null,0,25690112
p16,1,9437184
p17,1,2048
null,0,25690112
p18,1,9437184
p19,1,2048
null,0,25690112
null,0,6422528
p20,1,9437184
p21,1,2048
null,0,6422528
p22,1,9437184
p23,1,2048
null,0,6422528
p24,1,9437184
p25,1,2048
null,0,6422528
null,0,1605632
null,0,1605632
p26,1,411041792
p27,1,16384
null,0,262144
p28,1,67108864
p29,1,16384
null,0,262144
p30,1,16384000
p31,1,4000
null,0,64000
output,1,64000
