Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory
"fused_nn_batch_flatten_kernel0",1,3616,16,0,0
"fused_add_nn_relu_kernel0",1,4224,16,0,0
"fused_nn_global_avg_pool2d_kernel0",1,4224,32,0,0
"fused_add_10_kernel0",1,4288,16,0,0
"fused_add_nn_relu_2_kernel0",1,4384,16,0,0
"fused_add_nn_relu_1_kernel0",1,4384,16,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel2",1,4416,27,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel0",1,4480,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel2",1,4480,29,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel2",1,4704,30,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel2",1,4736,25,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel0",1,4736,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel2",1,4768,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel2",1,4800,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel0",1,4864,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel0",1,4896,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel0",1,4896,32,0,0
"fused_add_nn_relu_3_kernel0",1,4928,16,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel0",1,5056,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel0",1,5152,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel2",1,5152,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel0",1,5344,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel2",1,5408,29,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel2",1,5440,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel0",1,5920,32,0,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",1,6816,19,0,0
"fused_nn_dense_add_kernel0",1,7392,26,260,0
"fused_nn_conv2d_1_kernel0",1,10048,40,7616,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel2",1,10816,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel2",1,10944,32,0,0
"fused_nn_conv2d_2_kernel0",1,12608,32,1888,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel0",1,13183,72,0,0
"fused_nn_conv2d_kernel0",1,13344,80,7680,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel0",1,14208,72,0,0
"fused_nn_softmax_kernel0",1,16192,48,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_2_kernel1",1,19040,78,7296,0
"fused_nn_conv2d_3_kernel0",1,19136,32,2880,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_3_kernel1",1,19584,78,7296,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_1_kernel1",1,25984,48,8320,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_2_kernel1",1,26047,48,8320,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel1",1,26720,48,8320,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_add_nn_relu_kernel1",1,38687,55,2080,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel1",1,40032,55,2080,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_1_kernel1",1,42367,55,2080,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel1",1,43232,40,5120,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel1",1,43999,40,5120,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel1",1,44095,40,5120,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",1,50880,32,3672,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",1,52960,91,2708,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",1,73023,53,6928,0
"fused_nn_conv2d_add_nn_relu_kernel0",1,102207,40,3024,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel2",2,9136,32,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel0",2,10544,72,0,0
"fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel1",2,18624,78,7296,0
