Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",1184273748,108574,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",1184384244,16081563,4,28,64,28,1,8,95,10008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",1200466735,440926,6272,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",1200908557,4866579,1,28,32,56,1,2,254,5632,0
"fused_nn_conv2d_kernel0",1205776321,539059,1,28,32,56,1,2,127,5632,0
"fused_nn_conv2d_add_3_kernel0",1206316405,4866707,1,28,32,56,1,2,240,5632,0
"fused_add_nn_relu_3_kernel0",1211183977,142107,256,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",1211326980,4823982,1,28,32,56,1,2,254,5632,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",1216151923,5037415,1,28,32,56,1,2,206,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",1221190202,4100,1,4,64,28,1,8,16,0,0
"fused_nn_conv2d_1_kernel0",1221195327,4772,1,4,64,28,1,8,16,0,0
"fused_nn_conv2d_add_2_kernel0",1221201028,5268655,1,7,64,14,1,8,254,11264,0
"fused_add_nn_relu_2_kernel0",1226470611,64985,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",1226536493,5229580,1,7,64,14,1,8,254,11264,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",1231767290,5228877,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",1236997512,5824976,1,2,128,14,1,8,255,26560,0
"fused_nn_conv2d_2_kernel0",1242823865,492106,1,2,128,14,1,8,234,26560,0
"fused_nn_conv2d_add_1_kernel0",1243316932,4911738,1,2,128,14,1,8,254,10368,0
"fused_add_nn_relu_1_kernel0",1248230079,38113,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",1248269121,4696960,1,2,128,14,1,8,254,10368,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",1252967074,5742089,1,2,128,14,1,8,254,10368,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",1258710059,5738309,1,1,256,7,1,8,255,14912,0
"fused_nn_conv2d_3_kernel0",1264449297,581495,1,1,256,7,1,8,168,14912,0
"fused_nn_conv2d_add_kernel0",1265031753,6478854,1,1,512,7,1,4,168,2592,0
"fused_add_nn_relu_kernel0",1271511696,21779,256,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",1271534436,6475747,1,1,512,7,1,4,168,2592,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",1278011144,6490031,1,1,512,7,1,4,168,2592,0
"fused_nn_global_avg_pool2d_kernel0",1284502296,27736,64,4,1,8,8,1,31,0,0
"fused_nn_batch_flatten_kernel0",1284530833,4260,16,1,1,1024,1,1,30,0,0
"fused_nn_dense_add_kernel0",1284535957,158730,1000,32,1,64,1,1,32,520,0
"fused_nn_softmax_kernel0",1284695616,22259,32,1,1,32,1,1,96,0,0
