Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,1118341418,90090,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,1118432340,8031508,4,28,64,28,1,8,95,10008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,1126466503,386337,6272,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1126855304,2447273,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_kernel0,1129303569,298551,1,28,32,56,1,2,127,5632,0
fused_nn_conv2d_add_3_kernel0,1129603208,2475042,1,28,32,56,1,2,240,5632,0
fused_add_nn_relu_3_kernel0,1132079498,118851,256,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1132199789,2457415,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,1134658131,2559023,1,28,32,56,1,2,206,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,1137218529,3903,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_1_kernel0,1137223360,3807,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_add_2_kernel0,1137228063,2646105,1,7,64,14,1,8,254,11264,0
fused_add_nn_relu_2_kernel0,1139875159,44246,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,1139920397,2652503,1,7,64,14,1,8,254,11264,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,1142573987,2647289,1,7,64,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,1145222299,3021406,1,2,128,14,1,8,255,26560,0
fused_nn_conv2d_2_kernel0,1148244793,278715,1,2,128,14,1,8,234,26560,0
fused_nn_conv2d_add_1_kernel0,1148524404,3422171,1,2,128,14,1,8,254,10368,0
fused_add_nn_relu_1_kernel0,1151947855,24186,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,1151972872,3551708,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_add_nn_relu_kernel0,1155525732,3439190,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_nn_relu_1_kernel0,1158966330,2843945,1,1,256,7,1,8,255,14912,0
fused_nn_conv2d_3_kernel0,1161811266,332911,1,1,256,7,1,8,168,14912,0
fused_nn_conv2d_add_kernel0,1162145201,4259534,1,1,512,7,1,4,168,2592,0
fused_add_nn_relu_kernel0,1166405759,14108,256,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_kernel0,1166420699,4199197,1,1,512,7,1,4,168,2592,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,1170620824,4253007,1,1,512,7,1,4,168,2592,0
fused_nn_global_avg_pool2d_kernel0,1174874727,16956,64,4,1,8,8,1,31,0,0
fused_nn_batch_flatten_kernel0,1174892579,4287,16,1,1,1024,1,1,30,0,0
fused_nn_dense_add_kernel0,1174897793,83180,1000,32,1,64,1,1,32,520,0
fused_nn_softmax_kernel0,1174981805,21371,32,1,1,32,1,1,96,0,0
