Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,1168876098,58564,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,1168935654,3293714,4,28,64,28,1,8,95,10008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,1175363136,217646,6272,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1175757241,1072581,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_kernel0,1177670996,191820,1,28,32,56,1,2,127,5632,0
fused_nn_conv2d_add_3_kernel0,1177943269,1101990,1,28,32,56,1,2,240,5632,0
fused_add_nn_relu_3_kernel0,1179890465,96006,256,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1179987367,1076325,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,1181905954,1190859,1,28,32,56,1,2,206,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,1183852990,4384,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_1_kernel0,1183858526,3905,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_add_2_kernel0,1183863231,1312755,1,7,64,14,1,8,254,11264,0
fused_add_nn_relu_2_kernel0,1185891712,72452,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,1185965156,1412443,1,7,64,14,1,8,254,11264,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,1188073675,1466494,1,7,64,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,1190252726,1733327,1,2,128,14,1,8,255,26560,0
fused_nn_conv2d_2_kernel0,1192385950,334934,1,2,128,14,1,8,234,26560,0
fused_nn_conv2d_add_1_kernel0,1192721844,1248527,1,2,128,14,1,8,254,10368,0
fused_add_nn_relu_1_kernel0,1194399678,47428,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,1194448130,1755568,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_add_nn_relu_kernel0,1196392990,1911162,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_nn_relu_1_kernel0,1198533990,2040867,1,1,256,7,1,8,255,14912,0
fused_nn_conv2d_3_kernel0,1200576137,712877,1,1,256,7,1,8,168,14912,0
fused_nn_conv2d_add_kernel0,1201289974,2792690,1,1,512,7,1,4,168,2592,0
fused_add_nn_relu_kernel0,1204083592,13793,256,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_kernel0,1204098250,2513632,1,1,512,7,1,4,168,2592,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,1206612874,3172138,1,1,512,7,1,4,168,2592,0
fused_nn_global_avg_pool2d_kernel0,1209786068,17154,64,4,1,8,8,1,31,0,0
fused_nn_batch_flatten_kernel0,1209804150,4704,16,1,1,1024,1,1,30,0,0
fused_nn_dense_add_kernel0,1209810742,80037,1000,32,1,64,1,1,32,520,0
fused_nn_softmax_kernel0,1209891771,22625,32,1,1,32,1,1,96,0,0
,,41038298,,,,,,,,,
