Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,476087692,106143,32,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,476195659,10465958,32,1,1,28,1,8,95,10008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,486663409,275100,32,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,486940557,3676406,32,1,1,56,1,2,254,5632,0
fused_nn_conv2d_kernel0,490619779,657528,32,1,1,56,1,2,127,5632,0
fused_nn_conv2d_add_3_kernel0,491279067,3728084,32,1,1,56,1,2,240,5632,0
fused_add_nn_relu_3_kernel0,495009455,110271,32,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,495126158,3680757,32,1,1,56,1,2,254,5632,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,498808259,157246,32,1,1,56,1,2,206,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,498973025,2976,32,1,1,28,1,8,16,0,0
fused_nn_conv2d_1_kernel0,498978849,3296,32,1,1,28,1,8,16,0,0
fused_nn_conv2d_add_2_kernel0,498984993,4343341,32,1,1,14,1,8,254,11264,0
fused_add_nn_relu_2_kernel0,503330574,44479,32,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,503382317,3806004,32,1,1,14,1,8,254,11264,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,507190529,303164,32,1,1,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,507495869,4564267,32,1,1,14,1,8,255,26560,0
fused_nn_conv2d_2_kernel0,512063144,335388,32,1,1,14,1,8,234,26560,0
fused_nn_conv2d_add_1_kernel0,512402436,3699125,32,1,1,14,1,8,254,10368,0
fused_add_nn_relu_1_kernel0,516104313,23360,32,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,516130425,3929490,32,1,1,14,1,8,254,10368,0
fused_nn_conv2d_add_add_nn_relu_kernel0,520061803,3927602,32,1,1,14,1,8,254,10368,0
fused_nn_conv2d_add_nn_relu_1_kernel0,523993757,5113764,32,1,1,7,1,8,255,14912,0
fused_nn_conv2d_3_kernel0,529110689,462747,32,1,1,7,1,8,168,14912,0
fused_nn_conv2d_add_kernel0,529579260,12646060,32,1,1,7,1,4,168,2592,0
fused_add_nn_relu_kernel0,542227368,15744,32,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_kernel0,542245928,12641164,32,1,1,7,1,4,168,2592,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,554888916,13464451,32,1,1,7,1,4,168,2592,0
fused_nn_global_avg_pool2d_kernel0,568355447,28127,32,1,1,8,8,1,31,0,0
fused_nn_batch_flatten_kernel0,568385718,3744,16,1,1,1024,1,1,30,0,0
fused_nn_dense_add_kernel0,568392662,731288,32,1,1,64,1,1,32,520,0
fused_nn_softmax_kernel0,569127022,18911,32,1,1,32,1,1,96,0,0
