Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,851201806,116331,40,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,851320506,8428273,40,1,1,28,1,8,95,10008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,859757262,339195,40,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,860104972,3505112,40,1,1,56,1,2,254,5632,0
fused_nn_conv2d_kernel0,863616294,439744,40,1,1,56,1,2,127,5632,0
fused_nn_conv2d_add_3_kernel0,864061160,2953423,40,1,1,56,1,2,240,5632,0
fused_add_nn_relu_3_kernel0,867019289,101189,40,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,867123423,2909535,40,1,1,56,1,2,254,5632,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,870035711,127247,40,1,1,56,1,2,206,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,870167375,3297,40,1,1,28,1,8,16,0,0
fused_nn_conv2d_1_kernel0,870173425,3393,40,1,1,28,1,8,16,0,0
fused_nn_conv2d_add_2_kernel0,870179763,3174624,40,1,1,14,1,8,254,11264,0
fused_add_nn_relu_2_kernel0,873361494,43407,40,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,873409351,3170462,40,1,1,14,1,8,254,11264,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,876581158,283430,40,1,1,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,876866509,3519709,40,1,1,14,1,8,255,26560,0
fused_nn_conv2d_2_kernel0,880387819,289129,40,1,1,14,1,8,234,26560,0
fused_nn_conv2d_add_1_kernel0,880679060,3094179,40,1,1,14,1,8,254,10368,0
fused_add_nn_relu_1_kernel0,883775928,22120,40,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,883802306,3410581,40,1,1,14,1,8,254,10368,0
fused_nn_conv2d_add_add_nn_relu_kernel0,887214263,3516316,40,1,1,14,1,8,254,10368,0
fused_nn_conv2d_add_nn_relu_1_kernel0,890734420,4387352,40,1,1,7,1,8,255,14912,0
fused_nn_conv2d_3_kernel0,895123308,462568,40,1,1,7,1,8,168,14912,0
fused_nn_conv2d_add_kernel0,895587509,10302521,40,1,1,7,1,4,168,2592,0
fused_add_nn_relu_kernel0,905893488,14629,40,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_kernel0,905911126,10318848,40,1,1,7,1,4,168,2592,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,916233047,10657530,40,1,1,7,1,4,168,2592,0
fused_nn_global_avg_pool2d_kernel0,926892146,25257,40,1,1,8,8,1,31,0,0
fused_nn_batch_flatten_kernel0,926918843,4322,16,1,1,1024,1,1,30,0,0
fused_nn_dense_add_kernel0,926925982,551080,40,1,1,64,1,1,32,520,0
fused_nn_softmax_kernel0,927479335,19623,32,1,1,32,1,1,96,0,0
,,76297152,,,,,,,,,
