Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",1064032925,74194,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",1064126067,2767059,4,28,64,28,1,8,95,10008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",1069536187,203057,6272,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",1069748174,921275,1,28,32,56,1,2,254,5632,0
"fused_nn_conv2d_kernel0",1070739194,126110,1,28,32,56,1,2,127,5632,0
"fused_nn_conv2d_add_3_kernel0",1071662134,1010288,1,28,32,56,1,2,240,5632,0
"fused_add_nn_relu_3_kernel0",1072684105,93334,256,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",1073528434,1015314,1,28,32,56,1,2,254,5632,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",1075237193,1014065,1,28,32,56,1,2,206,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",1076893779,3297,1,4,64,28,1,8,16,0,0
"fused_nn_conv2d_1_kernel0",1076902421,4161,1,4,64,28,1,8,16,0,0
"fused_nn_conv2d_add_2_kernel0",1076911639,1081858,1,7,64,14,1,8,254,11264,0
"fused_add_nn_relu_2_kernel0",1078620942,61583,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",1078685758,1191835,1,7,64,14,1,8,254,11264,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",1080496877,1248233,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",1082301435,1477183,1,2,128,14,1,8,255,26560,0
"fused_nn_conv2d_2_kernel0",1084139760,254685,1,2,128,14,1,8,234,26560,0
"fused_nn_conv2d_add_1_kernel0",1084397486,1034806,1,2,128,14,1,8,254,10368,0
"fused_add_nn_relu_1_kernel0",1085813247,43338,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",1085859754,1329500,1,2,128,14,1,8,254,10368,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",1087406394,1355779,1,2,128,14,1,8,254,10368,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",1089060068,1790826,1,1,256,7,1,8,255,14912,0
"fused_nn_conv2d_3_kernel0",1090852526,491606,1,1,256,7,1,8,168,14912,0
"fused_nn_conv2d_add_kernel0",1091347044,2325354,1,1,512,7,1,4,168,2592,0
"fused_add_nn_relu_kernel0",1093674158,13539,256,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",1093692627,2225009,1,1,512,7,1,4,168,2592,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",1095920837,3154479,1,1,512,7,1,4,168,2592,0
"fused_nn_global_avg_pool2d_kernel0",1099078389,15108,64,4,1,8,8,1,31,0,0
"fused_nn_batch_flatten_kernel0",1099095993,3905,16,1,1,1024,1,1,30,0,0
"fused_nn_dense_add_kernel0",1099102491,61839,1000,32,1,64,1,1,32,520,0
"fused_nn_softmax_kernel0",1099166954,19428,32,1,1,32,1,1,96,0,0
