==50484== NVPROF is profiling process 50484, command: python3 resnet-test.py
==50484== Profiling application: python3 resnet-test.py
==50484== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,ms,
"GPU activities",85.319151,64.110921,935,68.567000,1.344000,4.847521,"[CUDA memcpy HtoD]"
"GPU activities",7.082562,5.322012,93,57.225000,19.488000,0.356185,"void cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int)"
"GPU activities",3.818334,2.869191,47,61.046000,22.047000,0.125470,"volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1"
"GPU activities",1.144853,0.860271,155,5.550000,4.448000,0.019264,"void cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>)"
"GPU activities",0.799739,0.600944,151,3.979000,3.072000,0.009472,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_83_GLOBAL__N__59_tmpxft_0000876c_00000000_9_TensorCompare_compute_70_cpp1_ii_d0af11f728clamp_min_scalar_kernel_implERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
"GPU activities",0.741361,0.557077,47,11.852000,4.384000,0.037856,"void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)"
"GPU activities",0.512465,0.385079,14,27.505000,24.255000,0.042912,"volta_scudnn_128x64_relu_interior_nn_v1"
"GPU activities",0.364265,0.273718,50,5.474000,4.192000,0.013631,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char*, int=3>>(int, float, float)"
"GPU activities",0.076909,0.057791,1,57.791000,57.791000,0.057791,"volta_scudnn_128x64_relu_medium_nn_v1"
"GPU activities",0.062516,0.046976,15,3.131000,2.944000,0.004896,"cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)"
"GPU activities",0.029043,0.021824,1,21.824000,21.824000,0.021824,"void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=4, int=4, bool=0, cublasGemvParams<cublasGemvTensorStridedBatched<float const >, cublasGemvTensorStridedBatched<float>, float>>(float const , float, float)"
"GPU activities",0.019247,0.014463,4,3.615000,3.455000,0.004096,"[CUDA memset]"
"GPU activities",0.013968,0.010496,1,10.496000,10.496000,0.010496,"void at::native::_GLOBAL__N__62_tmpxft_00008e4e_00000000_9_DilatedMaxPool2d_compute_70_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__62_tmpxft_00008e4e_00000000_9_DilatedMaxPool2d_compute_70_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>*, long*)"
"GPU activities",0.011114,0.008351,1,8.351000,8.351000,0.008351,"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, int=4>>(float)"
"GPU activities",0.004472,0.003360,1,3.360000,3.360000,0.003360,"[CUDA memcpy DtoD]"
"API calls",97.173583,6148.005565,66,93151.599000,5.747000,6110.397419,"cudaMalloc"
"API calls",2.125259,134.461499,934,143.963000,5.892000,5.363616,"cudaMemcpyAsync"
"API calls",0.376640,23.829357,933,25.540000,3.729000,7.837689,"cudaStreamSynchronize"
"API calls",0.144547,9.145229,15067,0.606000,0.444000,0.013373,"cudaGetDevice"
"API calls",0.106382,6.730617,576,11.685000,7.579000,0.068605,"cudaLaunchKernel"
"API calls",0.019042,1.204784,1,1204.784000,1204.784000,1.204784,"cudaHostAlloc"
"API calls",0.011674,0.738574,310,2.382000,1.980000,0.004904,"cudaEventRecord"
"API calls",0.010059,0.636394,2,318.197000,310.273000,0.326121,"cudaGetDeviceProperties"
"API calls",0.006655,0.421079,93,4.527000,3.468000,0.019763,"cudaBindTexture"
"API calls",0.006271,0.396731,97,4.090000,0.209000,0.174341,"cuDeviceGetAttribute"
"API calls",0.004018,0.254224,4,63.556000,3.575000,0.241179,"cudaStreamCreateWithPriority"
"API calls",0.003501,0.221517,180,1.230000,0.804000,0.005033,"cudaFuncSetAttribute"
"API calls",0.002941,0.186091,444,0.419000,0.223000,0.003422,"cudaGetLastError"
"API calls",0.002159,0.136570,93,1.468000,1.289000,0.002049,"cudaUnbindTexture"
"API calls",0.001782,0.112716,1,112.716000,112.716000,0.112716,"cuDeviceGetName"
"API calls",0.001624,0.102753,4,25.688000,10.588000,0.062999,"cudaMemsetAsync"
"API calls",0.001216,0.076922,8,9.615000,3.376000,0.049057,"cudaStreamCreateWithFlags"
"API calls",0.000920,0.058232,48,1.213000,0.838000,0.002667,"cudaEventCreateWithFlags"
"API calls",0.000576,0.036416,2,18.208000,15.900000,0.020516,"cudaMemcpy"
"API calls",0.000437,0.027665,40,0.691000,0.480000,0.003704,"cudaDeviceGetAttribute"
"API calls",0.000180,0.011380,1,11.380000,11.380000,0.011380,"cuDeviceGetPCIBusId"
"API calls",0.000124,0.007834,7,1.119000,0.730000,0.001561,"cudaFree"
"API calls",0.000086,0.005432,3,1.810000,0.337000,0.003339,"cuDeviceGetCount"
"API calls",0.000076,0.004829,2,2.414000,1.020000,0.003809,"cudaSetDevice"
"API calls",0.000069,0.004389,1,4.389000,4.389000,0.004389,"cudaDeviceGetStreamPriorityRange"
"API calls",0.000048,0.003065,1,3.065000,3.065000,0.003065,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.000048,0.003011,1,3.011000,3.011000,0.003011,"cudaHostGetDevicePointer"
"API calls",0.000030,0.001893,4,0.473000,0.287000,0.000943,"cudaGetDeviceCount"
"API calls",0.000029,0.001828,2,0.914000,0.769000,0.001059,"cuDeviceGet"
"API calls",0.000014,0.000855,1,0.855000,0.855000,0.000855,"cuDeviceTotalMem"
"API calls",0.000011,0.000675,1,0.675000,0.675000,0.000675,"cuDeviceGetUuid"
